tablename,policyname,command,using_expression,with_check
candidate_notes,candidate_notes_update_consolidated,UPDATE,"((author_id = ( SELECT auth.uid() AS uid)) AND (org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid)))))",null
candidates,candidates_anon_insert_for_applications,INSERT,null,true
candidates,candidates_authenticated_consolidated,ALL,(user_has_org_access(org_id) OR ((get_user_role_safe(( SELECT auth.uid() AS uid)) = 'demo_viewer'::text) AND (status = 'demo'::record_status))),(user_has_org_access(org_id) AND (get_user_role_safe(( SELECT auth.uid() AS uid)) <> 'demo_viewer'::text))
candidates,candidates_block_anon_except_insert,ALL,false,false
client_submissions,block_anon_client_submissions,ALL,false,null
client_submissions,client_submissions_delete,DELETE,"(org_id IN ( SELECT uo.org_id
   FROM user_organizations uo
  WHERE ((uo.user_id = auth.uid()) AND (uo.role = ANY (ARRAY['owner'::organization_role, 'admin'::organization_role])))))",null
client_submissions,client_submissions_insert,INSERT,null,user_has_org_access(org_id)
client_submissions,client_submissions_select,SELECT,user_has_org_access(org_id),null
client_submissions,client_submissions_update,UPDATE,user_has_org_access(org_id),null
clients,block_anon_clients,ALL,false,null
clients,clients_authenticated_consolidated,ALL,(is_authenticated() AND ((org_id = ANY (get_user_org_ids(( SELECT auth.uid() AS uid)))) OR ((get_user_role_safe(( SELECT auth.uid() AS uid)) = 'demo_viewer'::text) AND (status = 'demo'::record_status)))),(is_authenticated() AND (org_id = ANY (get_user_org_ids(( SELECT auth.uid() AS uid)))) AND (get_user_role_safe(( SELECT auth.uid() AS uid)) <> 'demo_viewer'::text))
connected_accounts,Users can delete their own connected accounts,DELETE,(user_id = ( SELECT auth.uid() AS uid)),null
connected_accounts,Users can insert their own connected accounts,INSERT,null,(user_id = ( SELECT auth.uid() AS uid))
connected_accounts,Users can update their own connected accounts,UPDATE,(user_id = ( SELECT auth.uid() AS uid)),(user_id = ( SELECT auth.uid() AS uid))
connected_accounts,Users can view their own connected accounts,SELECT,(user_id = ( SELECT auth.uid() AS uid)),null
daily_analytics_snapshots,Service role can manage analytics snapshots,ALL,true,true
daily_analytics_snapshots,Users can view analytics in their orgs,SELECT,user_has_org_access(org_id),null
data_imports,Admin users can insert imports,INSERT,null,"(org_id IN ( SELECT uo.org_id
   FROM user_organizations uo
  WHERE ((uo.user_id = ( SELECT auth.uid() AS uid)) AND (uo.role = ANY (ARRAY['admin'::organization_role, 'owner'::organization_role])))))"
data_imports,Admin users can update imports,UPDATE,"(org_id IN ( SELECT uo.org_id
   FROM user_organizations uo
  WHERE ((uo.user_id = ( SELECT auth.uid() AS uid)) AND (uo.role = ANY (ARRAY['admin'::organization_role, 'owner'::organization_role])))))",null
data_imports,Users can view imports for their organization,SELECT,"(org_id IN ( SELECT uo.org_id
   FROM user_organizations uo
  WHERE (uo.user_id = ( SELECT auth.uid() AS uid))))",null
drip_campaigns,block_anon_drip_campaigns,ALL,false,null
drip_campaigns,drip_campaigns_delete,DELETE,"(org_id IN ( SELECT uo.org_id
   FROM user_organizations uo
  WHERE ((uo.user_id = auth.uid()) AND (uo.role = ANY (ARRAY['owner'::organization_role, 'admin'::organization_role])))))",null
drip_campaigns,drip_campaigns_insert,INSERT,null,"(org_id IN ( SELECT uo.org_id
   FROM user_organizations uo
  WHERE ((uo.user_id = auth.uid()) AND (uo.role = ANY (ARRAY['owner'::organization_role, 'admin'::organization_role, 'recruiter'::organization_role])))))"
drip_campaigns,drip_campaigns_select,SELECT,user_has_org_access(org_id),null
drip_campaigns,drip_campaigns_update,UPDATE,"(org_id IN ( SELECT uo.org_id
   FROM user_organizations uo
  WHERE ((uo.user_id = auth.uid()) AND (uo.role = ANY (ARRAY['owner'::organization_role, 'admin'::organization_role, 'recruiter'::organization_role])))))",null
email_events,email_events_insert_service,INSERT,null,true
email_events,email_events_select_auth,SELECT,"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))",null
email_signups,Admins can view email signups,SELECT,"(EXISTS ( SELECT 1
   FROM user_profiles
  WHERE ((user_profiles.id = ( SELECT auth.uid() AS uid)) AND (user_profiles.role = 'admin'::user_role))))",null
email_signups,Anyone can sign up for emails,INSERT,null,true
email_templates,email_templates_delete_auth,DELETE,"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = ( SELECT auth.uid() AS uid)) AND (user_organizations.role = 'admin'::organization_role))))",null
email_templates,email_templates_insert_auth,INSERT,null,"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = ( SELECT auth.uid() AS uid)) AND (user_organizations.role = 'admin'::organization_role))))"
email_templates,email_templates_select_auth,SELECT,"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))",null
email_templates,email_templates_update_auth,UPDATE,"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = ( SELECT auth.uid() AS uid)) AND (user_organizations.role = 'admin'::organization_role))))",null
import_records,System can insert import records,INSERT,null,true
import_records,System can update import records,UPDATE,true,null
import_records,Users can view import records for their organization,SELECT,"(import_id IN ( SELECT di.id
   FROM (data_imports di
     JOIN user_organizations uo ON ((di.org_id = uo.org_id)))
  WHERE (uo.user_id = ( SELECT auth.uid() AS uid))))",null
interviews,interviews_authenticated_consolidated,ALL,(is_authenticated() AND ((org_id = ANY (get_user_org_ids(( SELECT auth.uid() AS uid)))) OR ((get_user_role_safe(( SELECT auth.uid() AS uid)) = 'demo_viewer'::text) AND (record_status = 'demo'::record_status)))),(is_authenticated() AND (org_id = ANY (get_user_org_ids(( SELECT auth.uid() AS uid)))) AND (get_user_role_safe(( SELECT auth.uid() AS uid)) <> 'demo_viewer'::text))
interviews,interviews_public_consolidated,ALL,"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))","(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))"
job_candidate,job_candidate_anon_insert_public_jobs,INSERT,null,"(job_id IN ( SELECT jobs.id
   FROM jobs
  WHERE ((jobs.status = 'open'::job_status) AND (jobs.public_slug IS NOT NULL) AND (jobs.published_at IS NOT NULL))))"
job_candidate,job_candidate_authenticated_consolidated,ALL,"((org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid)))) AND ((get_user_role() = ANY (ARRAY['admin'::text, 'recruiter'::text])) OR ((get_user_role() = 'pm'::text) AND (assigned_to = ( SELECT auth.uid() AS uid))) OR (get_user_role() = 'bd'::text) OR ((get_user_role() = 'demo_viewer'::text) AND (status = 'demo'::record_status)) OR is_authenticated()))","((org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid)))) AND ((get_user_role() = ANY (ARRAY['admin'::text, 'recruiter'::text, 'pm'::text])) OR (is_authenticated() AND (get_user_role_safe(( SELECT auth.uid() AS uid)) <> 'demo_viewer'::text))))"
job_candidate,job_candidate_block_anon_except_insert,ALL,(auth.role() <> 'anon'::text),null
job_candidate,job_candidate_secure_select,SELECT,"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))",null
