table_name,column_name,ordinal_position,data_type,is_nullable,column_default,character_maximum_length,numeric_precision,udt_name
timezone_cache,created_at,2,timestamp with time zone,YES,now(),null,null,timestamptz
user_settings,id,1,uuid,NO,gen_random_uuid(),null,null,uuid
user_settings,user_id,2,uuid,NO,null,null,null,uuid
user_settings,email_notifications,3,boolean,YES,true,null,null,bool
user_settings,browser_notifications,4,boolean,YES,true,null,null,bool
user_settings,weekly_reports,5,boolean,YES,false,null,null,bool
user_settings,team_invites,6,boolean,YES,true,null,null,bool
user_settings,public_profile,7,boolean,YES,false,null,null,bool
user_settings,created_at,8,timestamp with time zone,YES,now(),null,null,timestamptz
user_settings,updated_at,9,timestamp with time zone,YES,now(),null,null,timestamptz
